Subject,Start date,Start time,End Time,Description,Location,Colour,End date
"Techniques de Gestion, COURS",05/11/2018,09:00:00,11:30:00,COURS,NBS01,,05/11/2018
"Urbanisme et Architecture, COURS",06/11/2018,08:30:00,11:30:00,COURS,A COLBERT,,06/11/2018
"Contrôle de Gestion-Gestion Financière, COURS",07/11/2018,08:30:00,11:30:00,COURS,B03,,07/11/2018
"Droit des Travaux Publics, COURS",07/11/2018,14:00:00,17:00:00,COURS,A GALILEE,,07/11/2018
"Anglais, APPLICATION",08/11/2018,08:00:00,10:00:00,APPLICATION,,4,08/11/2018
"Allemand, APPLICATION",08/11/2018,08:00:00,10:00:00,APPLICATION,,4,08/11/2018
"Espagnol, APPLICATION",08/11/2018,08:00:00,10:00:00,APPLICATION,,4,08/11/2018
"Espagnol, APPLICATION",08/11/2018,10:15:00,12:15:00,APPLICATION,,4,08/11/2018
"Anglais, APPLICATION",08/11/2018,10:15:00,12:15:00,APPLICATION,NB42,4,08/11/2018
"Allemand, APPLICATION",08/11/2018,10:15:00,12:15:00,APPLICATION,,4,08/11/2018
"Méthodologie de Terrassement, COURS",13/11/2018,14:00:00,17:00:00,COURS,,,13/11/2018
"Contrôle de Gestion-Gestion Financière, COURS",14/11/2018,08:30:00,11:30:00,COURS,,,14/11/2018
"Droit des Travaux Publics, COURS",14/11/2018,14:00:00,17:00:00,COURS,,,14/11/2018
"Anglais, APPLICATION",15/11/2018,08:00:00,10:00:00,APPLICATION,,4,15/11/2018
"Espagnol, APPLICATION",15/11/2018,08:00:00,10:00:00,APPLICATION,,4,15/11/2018
"Allemand, APPLICATION",15/11/2018,08:00:00,10:00:00,APPLICATION,,4,15/11/2018
"Espagnol, APPLICATION",15/11/2018,10:15:00,12:15:00,APPLICATION,,4,15/11/2018
"Allemand, APPLICATION",15/11/2018,10:15:00,12:15:00,APPLICATION,,4,15/11/2018
"Anglais, APPLICATION",15/11/2018,10:15:00,12:15:00,APPLICATION,NB42,4,15/11/2018
"Droit des Travaux Publics, COURS",16/11/2018,14:00:00,17:00:00,COURS,,,16/11/2018
"Techniques de Gestion, APPLICATION",19/11/2018,14:00:00,16:30:00,APPLICATION,,4,19/11/2018
"Techniques de Gestion, APPLICATION",19/11/2018,16:30:00,19:00:00,APPLICATION,,4,19/11/2018
"Méthodologie de Terrassement, COMPOSITION",20/11/2018,10:00:00,12:00:00,COMPOSITION,,11,20/11/2018
